"","GlcM9_N_12h_Rep1","GlcM9_N_12h_Rep2","GlcM9_12h_Rep1","GlcM9_12h_Rep2","GlcM9_S_12h_Rep1","GlcM9_S_12h_Rep2","GlcM9_N_24h_Rep1","GlcM9_N_24h_Rep2","GlcM9_24h_Rep1","GlcM9_24h_Rep2","GlcM9_S_24h_Rep1","GlcM9_S_24h_Rep2","GlcM9_N_3h_Rep1","GlcM9_N_3h_Rep2","GlcM9_3h_Rep1","GlcM9_3h_Rep2","GlcM9_S_3h_Rep1","GlcM9_S_3h_Rep2","GlcM9_N_4h_Rep1","GlcM9_N_4h_Rep2","GlcM9_4h_Rep1","GlcM9_4h_Rep2","GlcM9_S_4h_Rep1","GlcM9_S_4h_Rep2","GlcM9_N_5h_Rep1","GlcM9_N_5h_Rep2","GlcM9_5h_Rep1","GlcM9_5h_Rep2","GlcM9_S_5h_Rep1","GlcM9_S_5h_Rep2","GlcM9_N_8h_Rep1","GlcM9_N_8h_Rep2","GlcM9_8h_Rep1","GlcM9_8h_Rep2","GlcM9_S_8h_Rep1","GlcM9_S_8h_Rep2"
"b0342",7.51988906841927,6.4907291334421,4.57280434294087,2.551055467056,35.1055889155169,33.2509300363056,19.4971070945012,7.4117966551695,14.6444035843595,3.63645056165662,18.2713602382377,16.5590962513577,8.6959711813938,7.79276239318325,14.0479180470672,6.97898025955124,15.5946717452355,6.64143616217984,5.25700702214458,5.84649911645394,5.88243723471693,3.75027204512998,37.1022271085566,22.3953454078602,9.87731652248917,5.24569868165046,0,2.27984157187681,21.7518776625193,31.9234487740567,6.24914221738327,6.57301024986545,1.82860235883213,3.06411451362444,41.4437675939326,33.7280663654159
"b0343",4.52069089690813,3.17037207872511,1.91448769189943,6.23026693747142,14.3255022073123,13.887480646955,18.0942475163072,1.81013201180036,3.97389083541938,0.888105256691437,9.16578153094669,13.4803798168423,2.12375710525673,2.17505445510362,5.33684075608371,1.89380916295038,9.77295793472747,3.89278122780836,1.83411798780571,4.56912058439684,2.63381635283507,2.1981674234244,9.49270792612398,8.88787388223298,3.55492264189566,4.20939702405178,1.70001075175573,1.11357998690079,10.9673520685768,16.1776210176816,2.03491324263264,5.50382053477635,2.00964127762487,1.74609765975598,15.329689426653,13.8534276210431
"b0344",0.922215064307494,2.35182465941601,2.21313366421079,3.55870578970653,0.974127940516742,1.05638331936266,6.99385824709772,1.66169059438273,3.89120910152249,4.34813561956211,2.46027304371238,4.17996952838239,1.19142014133896,1.55297898147638,3.49942041728389,2.16347379668649,0.82092323354032,1.4294201550096,1.27213612710776,0.81558282538049,1.95380040359855,1.12105823975846,1.11495458731541,0.627616631863443,1.45039919232089,0.821376235611393,1.38719993072395,1.36301321543611,0.489414966283561,0.795232204912904,2.59449784572493,1.77772270063587,2.27757892954343,1.62835040906093,1.52352557591669,0.992947455616795
"b0345",52.6653712623831,49.0511651244215,33.9862775071815,31.2567051306415,72.6236724684271,92.1091127592694,63.3970740141541,62.346440337252,64.4107582825817,33.4165988535996,54.1753939925129,49.9420713509584,33.8081951546001,36.7232729629561,39.9410273441023,36.3964264683997,47.4216237424524,40.862232470008,29.0912431949607,28.2678771625485,41.5813425378399,43.4758244050977,60.2794383584561,26.5163523767939,22.3424170785456,22.8839111439106,97.4252010386947,107.780982532894,34.5211697303838,54.6092704316906,32.3938852796859,37.1702516897373,56.8739193062962,37.2541487382965,67.1235957515209,75.6424158631539
"b0346",95.9733202911716,166.343572365727,151.546412944806,164.807348640561,250.217992056355,214.388422945878,317.042808711117,172.759215988503,187.543851678289,134.81650516398,200.478722634729,331.468817153825,1.59599710604623,6.53818764348515,6.01592977444765,6.54668281300153,206.073782080154,8.38618518797118,23.1560141646081,15.2369569488279,5.39810482766688,7.15830369524332,237.142864211074,10.5326013498456,14.5025030617625,16.2293570760695,651.552024946858,708.646295688036,7.72681147795501,190.710587397027,40.1423192437,98.2324855177711,376.888633298706,229.820208916196,220.656439308241,180.078864949373
"b0347",1.27704090837778,4.34226449721708,3.84582961718094,6.88346018981936,3.5971399099994,3.72356962226075,6.81521027399926,6.47698046539309,1.19741488558255,2.34153801921797,7.99479459371448,4.06191516689968,0.799914515935535,0.273078565541721,0.574321312715233,0.713304471639474,4.7636354879215,1.075226987793,1.51980785244044,1.18316157089583,0.541106546350762,0.827941211403846,5.41732531525592,1.54505703050176,0.191280565751117,0.827202870481495,1.4940570682447,1.34217803943384,1.16180448693141,4.4048035935992,1.91612854104439,2.59127204799832,3.3641453960507,2.25486458205496,3.10904334687289,2.96151232076011
"b0348",0.749665311260532,4.20593758858352,1.26991651867536,3.30612473848906,1.15180378436652,1.24906211430311,2.5267921033677,10.2059108012053,1.58157494665475,2.35638921172887,2.2399407685926,2.86137448966379,0,0.240459244287795,0.252859224889952,0,2.4786377425861,0.172143778749101,0.973284598180196,1.13654459568275,0.635294930387857,0,2.86213445302844,1.81399930431003,1.01059224907408,0.728393225275989,0,1.18185444698561,0.454678476680227,3.36149528647539,1.3497971033319,3.04232504014461,1.48114858081936,2.64736039020688,0.260730203155655,2.23522177275129
"b0349",4.08515774454184,5.41732514289905,1.8453779211473,1.80160944850844,1.5691336117666,3.40326255798026,3.44231758321694,6.54295989288436,4.59652810917173,2.56813847269068,2.44122576853525,1.55925130600342,0,1.8344713314214,1.92907118343463,1.91671814476026,2.07797882354347,0.375225840314861,3.71260979789704,0.825784322208818,1.03857546799582,0.794556485137562,1.2477323468041,1.23563028648998,0.734270558851062,1.85231180406206,0.409660809034838,1.28805795719861,0.49553668080587,1.69087621818808,2.20663835210596,3.64728506540839,2.25994606041148,1.44262841540076,2.55743888210512,0.812027571821321
"b0350",2.1861386697055,4.01405141006614,0.987538862858113,1.28548869815481,2.68706875465037,1.82122805198944,2.21055363420393,6.3025404048351,2.4597943272263,3.43579561389566,2.98606160590255,0.834420550931549,2.05403449992078,2.24389095039461,2.06465325181413,3.2236788525931,3.55844265121723,2.4095883802217,2.83824670122831,3.09338196161577,1.48209372169399,3.11813617759698,2.00314120288403,2.90944463018653,2.75057208112149,1.69928481161797,0.876906491349542,0.344646827018616,3.44737108891087,0,2.36172884047839,3.19387859331581,1.03662137419614,2.70203768556566,3.95371151468341,2.3175994487165
"b0351",6.33199450403985,10.2585998746753,2.94446330065415,2.73773984822361,7.43953935931693,5.2750569648694,13.809768186788,10.7381518242043,4.19095209953893,2.34153801921797,4.13367220470464,0.710835154207443,3.49962600721797,2.86732493818808,6.03037378350995,3.99450504118106,6.06280880280918,4.61858865211086,9.42971690264184,9.78797299559275,4.41903679519789,3.86372565321795,8.53228737152807,8.5621910440306,5.35585584103127,4.10154756613741,2.98811413648941,2.34881156900922,4.51812856028882,5.39588440215903,4.69451492555875,5.44167130079647,4.12107811016211,6.24785394611063,5.69991280260031,6.91019541510693
